REF_AREA,TIME_PERIOD,OBS_VALUE,DATABASE_ID,TIME_FORMAT,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL
ALB,2011,2.463516839,WB_WDI,P1Y,PU,Annual,Albania,GDP growth (annual %)
DZA,2011,2.999999999,WB_WDI,P1Y,PU,Annual,Algeria,GDP growth (annual %)
ASM,2011,0,WB_WDI,P1Y,PU,Annual,American Samoa,GDP growth (annual %)
AND,2011,-0.008069753,WB_WDI,P1Y,PU,Annual,Andorra,GDP growth (annual %)
AGO,2011,3.593869602,WB_WDI,P1Y,PU,Annual,Angola,GDP growth (annual %)
ATG,2011,-1.958742622,WB_WDI,P1Y,PU,Annual,Antigua and Barbuda,GDP growth (annual %)
ARG,2011,6.003951693,WB_WDI,P1Y,PU,Annual,Argentina,GDP growth (annual %)
ARM,2011,4.699999999,WB_WDI,P1Y,PU,Annual,Armenia,GDP growth (annual %)
ABW,2011,3.369237184,WB_WDI,P1Y,PU,Annual,Aruba,GDP growth (annual %)
AUS,2011,2.394734943,WB_WDI,P1Y,PU,Annual,Australia,GDP growth (annual %)
UMC,2010,8.540830826,WB_WDI,P1Y,PU,Annual,Upper middle income,GDP growth (annual %)
WLD,2010,4.524240326,WB_WDI,P1Y,PU,Annual,World,GDP growth (annual %)
AFG,2010,14.36244147,WB_WDI,P1Y,PU,Annual,Afghanistan,GDP growth (annual %)
ALB,2010,2.973154427,WB_WDI,P1Y,PU,Annual,Albania,GDP growth (annual %)
DZA,2010,4.800000001,WB_WDI,P1Y,PU,Annual,Algeria,GDP growth (annual %)
ASM,2010,0.299850075,WB_WDI,P1Y,PU,Annual,American Samoa,GDP growth (annual %)
AND,2010,-1.974958,WB_WDI,P1Y,PU,Annual,Andorra,GDP growth (annual %)
AGO,2010,5.293665728,WB_WDI,P1Y,PU,Annual,Angola,GDP growth (annual %)
ATG,2010,-7.840506837,WB_WDI,P1Y,PU,Annual,Antigua and Barbuda,GDP growth (annual %)
ARG,2010,10.12539816,WB_WDI,P1Y,PU,Annual,Argentina,GDP growth (annual %)
ARM,2010,2.2,WB_WDI,P1Y,PU,Annual,Armenia,GDP growth (annual %)
ABW,2010,-2.733456793,WB_WDI,P1Y,PU,Annual,Aruba,GDP growth (annual %)
AUS,2010,2.210047953,WB_WDI,P1Y,PU,Annual,Australia,GDP growth (annual %)
ZMB,2021,6.234922047,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2021,8.468016768,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2022,3.722716923,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2022,4.472794685,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2022,7.007759343,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2022,14.88510301,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2022,4.042272213,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2022,6.021190058,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2022,2.999618497,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2022,3.54811147,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2022,3.548083906,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2022,3.659219243,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,2022,3.390877771,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
ECA,2022,3.079017535,WB_WDI,P1Y,PU,Annual,Europe & Central Asia (excluding high income),GDP growth (annual %)
UZB,2007,9.473005305,WB_WDI,P1Y,PU,Annual,Uzbekistan,GDP growth (annual %)
VUT,2007,2.875892288,WB_WDI,P1Y,PU,Annual,Vanuatu,GDP growth (annual %)
VEN,2007,8.753578808,WB_WDI,P1Y,PU,Annual,"Venezuela, RB",GDP growth (annual %)
VNM,2007,7.129504486,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
VIR,2007,4.010594022,WB_WDI,P1Y,PU,Annual,Virgin Islands (U.S.),GDP growth (annual %)
PSE,2007,3.788281521,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,2007,3.338427956,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,2007,8.352436244,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2007,-3.653250915,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2008,4.437529194,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2008,6.210811884,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2008,5.571160087,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2008,1.699666047,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2008,3.962280664,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
USA,2013,2.117830098,WB_WDI,P1Y,PU,Annual,United States,GDP growth (annual %)
URY,2013,4.637538629,WB_WDI,P1Y,PU,Annual,Uruguay,GDP growth (annual %)
